n_value,node_count,memory_mb,disk_mb,memory_per_node,disk_per_node,memory_disk_ratio,optimal_depth,balancing_overhead_mb
2,2000,0.206,0.101,108.0,53.0,2.040,11,0.021
2,4000,0.412,0.202,108.0,52.9,2.042,12,0.041
2,6000,0.618,0.302,108.0,52.9,2.043,13,0.062
2,8000,0.824,0.403,108.0,52.8,2.044,13,0.082
2,10000,1.030,0.504,108.0,52.8,2.044,14,0.103
2,12000,1.236,0.605,108.0,52.8,2.044,14,0.124
2,14000,1.442,0.705,108.0,52.8,2.045,14,0.144
2,16000,1.648,0.806,108.0,52.8,2.045,14,0.165
2,18000,1.854,0.907,108.0,52.8,2.045,15,0.185
2,20000,2.060,1.007,108.0,52.8,2.045,15,0.206
2,22000,2.266,1.108,108.0,52.8,2.045,15,0.227
2,24000,2.472,1.209,108.0,52.8,2.045,15,0.247
2,26000,2.678,1.309,108.0,52.8,2.045,15,0.268
2,28000,2.884,1.410,108.0,52.8,2.045,15,0.288
2,30000,3.090,1.511,108.0,52.8,2.045,15,0.309
2,32000,3.296,1.612,108.0,52.8,2.045,15,0.330
2,34000,3.502,1.712,108.0,52.8,2.045,16,0.350
2,36000,3.708,1.813,108.0,52.8,2.045,16,0.371
2,38000,3.914,1.914,108.0,52.8,2.045,16,0.391
2,40000,4.120,2.014,108.0,52.8,2.045,16,0.412
2,42000,4.326,2.115,108.0,52.8,2.045,16,0.433
2,44000,4.532,2.216,108.0,52.8,2.045,16,0.453
2,46000,4.738,2.317,108.0,52.8,2.045,16,0.474
2,48000,4.944,2.417,108.0,52.8,2.045,16,0.494
2,50000,5.150,2.518,108.0,52.8,2.045,16,0.515
2,52000,5.356,2.619,108.0,52.8,2.045,16,0.536
2,54000,5.562,2.719,108.0,52.8,2.045,16,0.556
2,56000,5.768,2.820,108.0,52.8,2.045,16,0.577
2,58000,5.974,2.921,108.0,52.8,2.045,16,0.597
2,60000,6.180,3.022,108.0,52.8,2.045,16,0.618
2,62000,6.386,3.122,108.0,52.8,2.045,16,0.639
2,64000,6.592,3.223,108.0,52.8,2.045,16,0.659
2,66000,6.798,3.324,108.0,52.8,2.045,17,0.680
2,68000,7.004,3.424,108.0,52.8,2.045,17,0.700
2,70000,7.210,3.525,108.0,52.8,2.045,17,0.721
2,72000,7.416,3.626,108.0,52.8,2.045,17,0.742
2,74000,7.622,3.726,108.0,52.8,2.045,17,0.762
2,76000,7.828,3.827,108.0,52.8,2.045,17,0.783
2,78000,8.034,3.928,108.0,52.8,2.045,17,0.803
2,80000,8.240,4.029,108.0,52.8,2.045,17,0.824
2,82000,8.446,4.129,108.0,52.8,2.045,17,0.845
2,84000,8.652,4.230,108.0,52.8,2.045,17,0.865
2,86000,8.858,4.331,108.0,52.8,2.045,17,0.886
2,88000,9.064,4.431,108.0,52.8,2.045,17,0.906
2,90000,9.270,4.532,108.0,52.8,2.045,17,0.927
2,92000,9.476,4.633,108.0,52.8,2.045,17,0.948
2,94000,9.682,4.734,108.0,52.8,2.045,17,0.968
2,96000,9.888,4.834,108.0,52.8,2.045,17,0.989
2,98000,10.094,4.935,108.0,52.8,2.045,17,1.009
2,100000,10.300,5.036,108.0,52.8,2.045,17,1.030
3,2000,0.188,0.119,98.8,62.6,1.579,7,0.019
3,4000,0.377,0.238,98.8,62.5,1.581,8,0.038
3,6000,0.565,0.357,98.8,62.5,1.582,8,0.057
3,8000,0.754,0.476,98.8,62.4,1.582,9,0.075
3,10000,0.942,0.595,98.8,62.4,1.583,9,0.094
3,12000,1.131,0.714,98.8,62.4,1.583,9,0.113
3,14000,1.319,0.833,98.8,62.4,1.583,9,0.132
3,16000,1.508,0.952,98.8,62.4,1.583,9,0.151
3,18000,1.696,1.071,98.8,62.4,1.583,9,0.170
3,20000,1.884,1.190,98.8,62.4,1.583,10,0.188
3,22000,2.073,1.309,98.8,62.4,1.583,10,0.207
3,24000,2.261,1.429,98.8,62.4,1.583,10,0.226
3,26000,2.450,1.548,98.8,62.4,1.583,10,0.245
3,28000,2.638,1.667,98.8,62.4,1.583,10,0.264
3,30000,2.827,1.786,98.8,62.4,1.583,10,0.283
3,32000,3.015,1.905,98.8,62.4,1.583,10,0.302
3,34000,3.204,2.024,98.8,62.4,1.583,10,0.320
3,36000,3.392,2.143,98.8,62.4,1.583,10,0.339
3,38000,3.580,2.262,98.8,62.4,1.583,10,0.358
3,40000,3.769,2.381,98.8,62.4,1.583,10,0.377
3,42000,3.957,2.500,98.8,62.4,1.583,10,0.396
3,44000,4.146,2.619,98.8,62.4,1.583,10,0.415
3,46000,4.334,2.738,98.8,62.4,1.583,10,0.433
3,48000,4.523,2.857,98.8,62.4,1.583,10,0.452
3,50000,4.711,2.976,98.8,62.4,1.583,10,0.471
3,52000,4.900,3.095,98.8,62.4,1.583,10,0.490
3,54000,5.088,3.214,98.8,62.4,1.583,10,0.509
3,56000,5.276,3.333,98.8,62.4,1.583,10,0.528
3,58000,5.465,3.452,98.8,62.4,1.583,10,0.546
3,60000,5.653,3.571,98.8,62.4,1.583,11,0.565
3,62000,5.842,3.690,98.8,62.4,1.583,11,0.584
3,64000,6.030,3.809,98.8,62.4,1.583,11,0.603
3,66000,6.219,3.928,98.8,62.4,1.583,11,0.622
3,68000,6.407,4.047,98.8,62.4,1.583,11,0.641
3,70000,6.596,4.166,98.8,62.4,1.583,11,0.660
3,72000,6.784,4.285,98.8,62.4,1.583,11,0.678
3,74000,6.973,4.404,98.8,62.4,1.583,11,0.697
3,76000,7.161,4.523,98.8,62.4,1.583,11,0.716
3,78000,7.349,4.642,98.8,62.4,1.583,11,0.735
3,80000,7.538,4.761,98.8,62.4,1.583,11,0.754
3,82000,7.726,4.880,98.8,62.4,1.583,11,0.773
3,84000,7.915,4.999,98.8,62.4,1.583,11,0.791
3,86000,8.103,5.118,98.8,62.4,1.583,11,0.810
3,88000,8.292,5.237,98.8,62.4,1.583,11,0.829
3,90000,8.480,5.356,98.8,62.4,1.583,11,0.848
3,92000,8.669,5.475,98.8,62.4,1.583,11,0.867
3,94000,8.857,5.594,98.8,62.4,1.583,11,0.886
3,96000,9.045,5.713,98.8,62.4,1.583,11,0.905
3,98000,9.234,5.832,98.8,62.4,1.583,11,0.923
3,100000,9.422,5.951,98.8,62.4,1.583,11,0.942
4,2000,0.188,0.138,98.8,72.2,1.369,6,0.019
4,4000,0.377,0.275,98.8,72.1,1.371,6,0.038
4,6000,0.565,0.412,98.8,72.1,1.371,7,0.057
4,8000,0.754,0.550,98.8,72.0,1.371,7,0.075
4,10000,0.942,0.687,98.8,72.0,1.372,7,0.094
4,12000,1.131,0.824,98.8,72.0,1.372,7,0.113
4,14000,1.319,0.962,98.8,72.0,1.372,7,0.132
4,16000,1.508,1.099,98.8,72.0,1.372,7,0.151
4,18000,1.696,1.236,98.8,72.0,1.372,8,0.170
4,20000,1.884,1.374,98.8,72.0,1.372,8,0.188
4,22000,2.073,1.511,98.8,72.0,1.372,8,0.207
4,24000,2.261,1.648,98.8,72.0,1.372,8,0.226
4,26000,2.450,1.786,98.8,72.0,1.372,8,0.245
4,28000,2.638,1.923,98.8,72.0,1.372,8,0.264
4,30000,2.827,2.060,98.8,72.0,1.372,8,0.283
4,32000,3.015,2.198,98.8,72.0,1.372,8,0.302
4,34000,3.204,2.335,98.8,72.0,1.372,8,0.320
4,36000,3.392,2.472,98.8,72.0,1.372,8,0.339
4,38000,3.580,2.610,98.8,72.0,1.372,8,0.358
4,40000,3.769,2.747,98.8,72.0,1.372,8,0.377
4,42000,3.957,2.884,98.8,72.0,1.372,8,0.396
4,44000,4.146,3.022,98.8,72.0,1.372,8,0.415
4,46000,4.334,3.159,98.8,72.0,1.372,8,0.433
4,48000,4.523,3.296,98.8,72.0,1.372,8,0.452
4,50000,4.711,3.434,98.8,72.0,1.372,8,0.471
4,52000,4.900,3.571,98.8,72.0,1.372,8,0.490
4,54000,5.088,3.708,98.8,72.0,1.372,8,0.509
4,56000,5.276,3.846,98.8,72.0,1.372,8,0.528
4,58000,5.465,3.983,98.8,72.0,1.372,8,0.546
4,60000,5.653,4.120,98.8,72.0,1.372,8,0.565
4,62000,5.842,4.257,98.8,72.0,1.372,8,0.584
4,64000,6.030,4.395,98.8,72.0,1.372,8,0.603
4,66000,6.219,4.532,98.8,72.0,1.372,9,0.622
4,68000,6.407,4.669,98.8,72.0,1.372,9,0.641
4,70000,6.596,4.807,98.8,72.0,1.372,9,0.660
4,72000,6.784,4.944,98.8,72.0,1.372,9,0.678
4,74000,6.973,5.081,98.8,72.0,1.372,9,0.697
4,76000,7.161,5.219,98.8,72.0,1.372,9,0.716
4,78000,7.349,5.356,98.8,72.0,1.372,9,0.735
4,80000,7.538,5.493,98.8,72.0,1.372,9,0.754
4,82000,7.726,5.631,98.8,72.0,1.372,9,0.773
4,84000,7.915,5.768,98.8,72.0,1.372,9,0.791
4,86000,8.103,5.905,98.8,72.0,1.372,9,0.810
4,88000,8.292,6.043,98.8,72.0,1.372,9,0.829
4,90000,8.480,6.180,98.8,72.0,1.372,9,0.848
4,92000,8.669,6.317,98.8,72.0,1.372,9,0.867
4,94000,8.857,6.455,98.8,72.0,1.372,9,0.886
4,96000,9.045,6.592,98.8,72.0,1.372,9,0.905
4,98000,9.234,6.729,98.8,72.0,1.372,9,0.923
4,100000,9.422,6.867,98.8,72.0,1.372,9,0.942
5,2000,0.188,0.156,98.8,81.8,1.209,5,0.019
5,4000,0.377,0.312,98.8,81.7,1.210,6,0.038
5,6000,0.565,0.467,98.8,81.7,1.210,6,0.057
5,8000,0.754,0.623,98.8,81.6,1.210,6,0.075
5,10000,0.942,0.778,98.8,81.6,1.210,6,0.094
5,12000,1.131,0.934,98.8,81.6,1.210,6,0.113
5,14000,1.319,1.090,98.8,81.6,1.210,6,0.132
5,16000,1.508,1.245,98.8,81.6,1.210,7,0.151
5,18000,1.696,1.401,98.8,81.6,1.211,7,0.170
5,20000,1.884,1.557,98.8,81.6,1.211,7,0.188
5,22000,2.073,1.712,98.8,81.6,1.211,7,0.207
5,24000,2.261,1.868,98.8,81.6,1.211,7,0.226
5,26000,2.450,2.024,98.8,81.6,1.211,7,0.245
5,28000,2.638,2.179,98.8,81.6,1.211,7,0.264
5,30000,2.827,2.335,98.8,81.6,1.211,7,0.283
5,32000,3.015,2.491,98.8,81.6,1.211,7,0.302
5,34000,3.204,2.646,98.8,81.6,1.211,7,0.320
5,36000,3.392,2.802,98.8,81.6,1.211,7,0.339
5,38000,3.580,2.957,98.8,81.6,1.211,7,0.358
5,40000,3.769,3.113,98.8,81.6,1.211,7,0.377
5,42000,3.957,3.269,98.8,81.6,1.211,7,0.396
5,44000,4.146,3.424,98.8,81.6,1.211,7,0.415
5,46000,4.334,3.580,98.8,81.6,1.211,7,0.433
5,48000,4.523,3.736,98.8,81.6,1.211,7,0.452
5,50000,4.711,3.891,98.8,81.6,1.211,7,0.471
5,52000,4.900,4.047,98.8,81.6,1.211,7,0.490
5,54000,5.088,4.203,98.8,81.6,1.211,7,0.509
5,56000,5.276,4.358,98.8,81.6,1.211,7,0.528
5,58000,5.465,4.514,98.8,81.6,1.211,7,0.546
5,60000,5.653,4.669,98.8,81.6,1.211,7,0.565
5,62000,5.842,4.825,98.8,81.6,1.211,7,0.584
5,64000,6.030,4.981,98.8,81.6,1.211,7,0.603
5,66000,6.219,5.136,98.8,81.6,1.211,7,0.622
5,68000,6.407,5.292,98.8,81.6,1.211,7,0.641
5,70000,6.596,5.448,98.8,81.6,1.211,7,0.660
5,72000,6.784,5.603,98.8,81.6,1.211,7,0.678
5,74000,6.973,5.759,98.8,81.6,1.211,7,0.697
5,76000,7.161,5.915,98.8,81.6,1.211,7,0.716
5,78000,7.349,6.070,98.8,81.6,1.211,7,0.735
5,80000,7.538,6.226,98.8,81.6,1.211,8,0.754
5,82000,7.726,6.382,98.8,81.6,1.211,8,0.773
