strategy,iteration,parameter,num_points,depth,memory_bytes,subdivisions,memory_per_point
Clustered,1,tightness_100,50,3,17712,1,354.24
Clustered,2,tightness_50,60,4,21168,1,352.8
Clustered,3,tightness_25,70,5,73008,1,1042.9714285714285
Clustered,4,tightness_10,80,7,128304,1,1603.8
Clustered,5,tightness_5,90,8,180144,1,2001.6
Clustered,6,tightness_2,100,9,221616,1,2216.16
Clustered,7,tightness_1,110,10,245808,1,2234.6181818181817
Clustered,8,tightness_0.5,120,11,276912,1,2307.6
Clustered,9,tightness_0.25,130,13,276912,1,2130.0923076923077
Clustered,10,tightness_0.1,140,14,346032,1,2471.657142857143
Linear,1,increment_10,60,4,38448,1,640.8
Linear,2,increment_5,65,5,41904,1,644.6769230769231
Linear,3,increment_2,70,6,34992,1,499.8857142857143
Linear,4,increment_1,75,7,48816,1,650.88
Linear,5,increment_0.5,80,8,52272,1,653.4
Linear,6,increment_0.25,85,9,55728,1,655.6235294117647
Linear,7,increment_0.1,90,11,90288,1,1003.2
Linear,8,increment_0.05,95,12,93744,1,986.7789473684211
Linear,9,increment_0.025,100,13,100656,1,1006.56
Linear,10,increment_0.01,105,14,86832,1,826.9714285714285
Controlled,1,target_depth_1,12,1,3888,1,324.0
Controlled,2,target_depth_2,16,1,3888,1,243.0
Controlled,3,target_depth_3,24,1,3888,1,162.0
Controlled,4,target_depth_4,32,1,3888,1,121.5
Controlled,5,target_depth_5,40,1,3888,1,97.2
Controlled,6,target_depth_6,48,1,3888,1,81.0
Controlled,7,target_depth_7,56,1,3888,1,69.42857142857143
Controlled,8,target_depth_8,64,1,3888,1,60.75
Controlled,9,target_depth_9,72,4,66096,1,918.0
Controlled,10,target_depth_10,80,5,90288,1,1128.6
Density,1,points_10,10,1,3888,1,388.8
Density,2,points_25,25,1,3888,1,155.52
Density,3,points_50,50,2,7344,1,146.88
Density,4,points_100,100,2,28080,1,280.8
Density,5,points_200,200,2,31536,1,157.68
Density,6,points_400,400,3,76464,1,191.16
Density,7,points_800,800,3,225072,1,281.34
Density,8,points_1600,1600,4,266544,1,166.59
Density,9,points_3200,3200,4,594864,1,185.895
Density,10,points_6400,6400,4,1776816,1,277.6275
