pattern,points,memory,memory_per_point,depth,insert_time
Random_Uniform,10,3888,388.8,1,2.384185791015625e-05
Random_Uniform,50,7344,146.88,2,7.009506225585938e-05
Random_Uniform,100,28080,280.8,2,0.0001895427703857422
Random_Uniform,200,38448,192.24,3,0.0003838539123535156
Random_Uniform,500,107568,215.136,3,0.0039615631103515625
Clustered_Points,10,3888,388.8,1,0.00013303756713867188
Clustered_Points,50,28080,561.6,4,0.0001575946807861328
Clustered_Points,100,34992,349.92,4,0.0002942085266113281
Clustered_Points,200,52272,261.36,5,0.00040268898010253906
Clustered_Points,500,166320,332.64,5,0.001360177993774414
Linear_Arrangement,10,28080,2808.0,8,8.392333984375e-05
Linear_Arrangement,50,38448,768.96,8,0.00017952919006347656
Linear_Arrangement,100,55728,557.28,8,0.0003104209899902344
Linear_Arrangement,200,104112,520.56,8,0.0006122589111328125
Linear_Arrangement,500,225072,450.144,8,0.0016567707061767578
Grid_Distribution,10,3888,388.8,1,2.6702880859375e-05
Grid_Distribution,50,3888,77.76,1,6.222724914550781e-05
Grid_Distribution,100,21168,211.68,2,0.0002353191375732422
Grid_Distribution,200,31536,157.68,2,0.0007336139678955078
Grid_Distribution,500,104112,208.224,3,0.0010898113250732422
